"hsa00053","hsa00061","hsa00071","hsa00120","hsa00130","hsa00190","hsa00240","hsa00280","hsa00430","hsa00500","hsa00511","hsa00532","hsa00533","hsa00561","hsa00563","hsa00591","hsa00592","hsa00601","hsa00650","hsa00670","hsa00750","hsa00760","hsa00780","hsa00830","hsa00900","hsa00920","hsa00970","hsa01040","hsa02010","hsa03008","hsa03013","hsa03015","hsa03018","hsa03020","hsa03022","hsa03030","hsa03040","hsa03410","hsa03420","hsa03440","hsa03450","hsa04020","hsa04024","hsa04066","hsa04071","hsa04072","hsa04110","hsa04115","hsa04120","hsa04122","hsa04130","hsa04136","hsa04137","hsa04142","hsa04144","hsa04146","hsa04150","hsa04152","hsa04218","hsa04270","hsa04310","hsa04340","hsa04392","hsa04510","hsa04512","hsa04514","hsa04530","hsa04610","hsa04657","hsa04662","hsa04664","hsa04721","hsa04723","hsa04725","hsa04726","hsa04740","hsa04750","hsa04911","hsa04916","hsa04919","hsa04925","hsa04926","hsa04930","hsa04961","hsa04962","hsa04971","hsa04974","hsa04978"
,,,,,"ATP5I","ENTPD6",,,,,,,,,,,,,,,,,,,,,,,"EFTUD1","SENP2",,,,,,"SNRNP70",,,,,"PHKG1","FXYD2","MKNK1","BID","PLD2","CCNB3",,"UBE3A",,,,,"SGSH","HLA-G",,"SOS2","SREBF1","MAPK3","BRAF","WNT2",,,"ARHGAP5",,"SDC2","PPP2R2D",,,,,,"NDUFB10","CACNA1D","SLC18A1","OR8J1",,,"CREB3L3","TP53",,"MAPK8",,,,,,
,,,,,"ATP5J","ENTPD3",,,,,,,,,,,,,,,,,,,,,,,"LOC81691","UPF1",,,,,,"SNRPA",,,,,"PHKG2","ATP2A2","EIF4E2","SMPD1","AVP","CDC14B",,"VHL",,,,,"SLC11A1","HRAS",,"BRAF","STK11","LIN37","ACTG2","WNT3",,,"SHC4",,"SDC4","PRKCZ",,,,,,"NDUFC1","CACNA1F","SLC18A2","OR5R1",,,"WNT3A","TSC2",,"MAPK11",,,,,,
,,,,,"ATP6V1A","ENTPD5",,,,,,,,,,,,,,,,,,,,,,,"RIOK1","ELAC2",,,,,,"SNRPA1",,,,,"PLCB2","NPR1","RBX1","SMPD2","AVPR1A","CDC14A",,"BIRC7",,,,,"SMPD1","HSPA1A",,"STK11","MAP3K7","MAPK11","CACNA1C","WNT5A",,,"MET",,"SELE","MAPK8",,,,,,"NDUFC2","CACNA1S","BRAF","OR5M3",,,"CREB3L1","NCOA3",,"MAPK9",,,,,,
,,,,,"ATP6V1B1","ENTPD4",,,,,,,,,,,,,,,,,,,,,,,"WDR75","SEC13",,,,,,"SNRPB",,,,,"PLCB3","NPY1R",,"TNF","AVPR1B","CDC23",,"CUL5",,,,,"PSAPL1","HSPA1B",,"TNF","TSC1","MAPK13","CACNA1D","WNT6",,,"MYL2",,"SELL","MAPK9",,,,,,"NDUFS1","CAMK4","TPH1","OR5M8",,,"CALML4","CASP9",,"MAPK10",,,,,,
,,,,,"ATP6V1B2","CDA",,,,,,,,,,,,,,,,,,,,,,,"UTP15","PABPC1L2B",,,,,,"SNRPB2",,,,,"PLCB4","ATP2B1",,"TNFRSF1A","AGPAT5","CDC16",,"ITCH",,,,,"LAPTM5","HSPA1L",,"TNFRSF1A","TSC2","MAP2K1","CACNA1F","WNT7A",,,"MYL5",,"SELP","MAPK10",,,,,,"NDUFS2","CAMK2A","TRPC1","OR5M11",,,,"PLCD4",,"MAPK13",,,,,,
,,,,,"ATP6V0C",,,,,,,,,,,,,,,,,,,,,,,,"CIRH1A","UPF3B",,,,,,"SNRPC",,,,,"PLCD1","ATP2B2",,"TP53","AVPR2","CCNA2",,"SYVN1",,,,,"GNPTAB","HSPA2",,"TSC1","ADIPOR2","MAP2K2","CACNA1S","WNT7B",,,"MYLK",,"SELPLG","MAP2K7",,,,,,"NDUFS3","CAMK2B","CACNA1A","OR5AR1",,,,"PIK3R3",,"MAP2K1",,,,,,
,,,,,"ATP6V1C1",,,,,,,,,,,,,,,,,,,,,,,,"IMP4","UPF3A",,,,,,"SNRPD1",,,,,"PLCG1","ATP2B3",,"TRAF2","PRKCA","CCNA1",,"CUL4B",,,,,"AP3B2","HSPA6",,"TSC2","SCD5","MAP2K3","CALD1","WNT8A",,,"PPP1R12A",,"LRRC4","PARD3",,,,,,"NDUFV1","CAMK2D","CACNA1B","OR8B12",,,,"NCOA1",,"MAP2K2",,,,,,
,,,,,"ATP6V1E1",,,,,,,,,,,,,,,,,,,,,,,,"UTP14C","RGPD3",,,,,,"SNRPD2",,,,,"PLCG2","ATP2B4",,"CERS4","MAPK1","CCNB1",,"CUL4A",,,,,"CLTCL1","HSPA8",,"WNT1","CAB39L","MAP2K6","CALM1","WNT8B",,,"PPP1R12B",,"CLDN25","ACTR3B",,,,,,"NDUFS4","CAMK2G","CACNA1C","OR8G5",,,,"HDAC3",,"MAP2K7",,,,,,
,,,,,"ATP6V0B",,,,,,,,,,,,,,,,,,,,,,,,"BMS1","SMN1",,,,,,"SNRPD3",,,,,"PLN","OXTR",,"SGPP1","MAPK3","CCND2",,"CUL3",,,,,"GNPTG","IGF1R",,"WNT2","ULK1","PTEN","CALM2","WNT10B",,,"PAK1",,"SIGLEC1","CGN",,,,,,"NDUFS5","CREB3L3","CACNA1D","OR10G8",,,,"KAT2B",,"RAF1",,,,,,
,,,,,"ATP6V1G2",,,,,,,,,,,,,,,,,,,,,,,,,"SMN2",,,,,,"SNRPE",,,,,"AVPR1A","PAK1",,"NSMAF","PDGFC","CCND3",,"CUL2",,,,,"AP3B1","IGF2R",,"WNT3","AKT1S1","KIR2DL5A","CALM3","WNT11",,,"PAK2",,"SPN","MYH7B",,,,,,"NDUFS6","PIK3R3","CACNA1F","OR10G9",,,,"PLCZ1",,"ACTA2",,,,,,
,,,,,"ATP6V0A1",,,,,,,,,,,,,,,,,,,,,,,,,"SUMO3",,,,,,"SNRPF",,,,,"AVPR1B","ACOX1",,"PIK3R3","MAP2K1","CCNE1",,"CUL1",,,,,"CTSF","IL2RA",,"WNT5A","CREB3L3","RAD1","CALML3","WNT2B",,,"PAK3",,"CNTN2","RAP2C",,,,,,"NDUFS8","CHRNA6","CACNA1S","OR10S1",,,,"MED30",,"GNB4",,,,,,
,,,,,"ATP6AP1",,,,,,,,,,,,,,,,,,,,,,,,,"SUMO2",,,,,,"SNRPG",,,,,"PPP3CA","PLCE1",,"DEGS1","MAP2K2","CCNH",,"PIAS1",,,,,"CD164","IL2RB",,"WNT6","IRS4","RAD9A","PLA2G12A","WNT9A",,,"PDGFA",,"CLDN5","JAM2",,,,,,"NDUFV2","CREB3L1","CASP3","OR6T1",,,,"MED14",,"RXFP1",,,,,,
,,,,,"ATP5O",,,,,,,,,,,,,,,,,,,,,,,,,"TPR",,,,,,"U2AF1",,,,,"PPP3CB","PDE3A",,"S1PR4","SPHK2","PKMYT1",,"SOCS1",,,,,"AP1S2","IL2RG",,"WNT7A","PIK3R3","RAF1","PLA2G6","WNT9B",,,"PDGFB",,"VCAM1","MPP4",,,,,,"NDUFV3","KCNQ4","PLA2G4C","OR4D5",,,,"MED17",,"RELA",,,,,,
,,,,,"NDUFB11",,,,,,,,,,,,,,,,,,,,,,,,,"RGPD8",,,,,,"DDX39B",,,,,"PPP3CC","PDE3B",,"TRADD","AGPAT3","SMC3",,"CBL",,,,,"AP1G2","CXCR1",,"WNT7B","IRS2","RB1","PLA2G10","FZD5",,,"PDGFRA",,"VTCN1","RAB13",,,,,,"NDUFA13","GNG8","JMJD7-PLA2G4B","OR6Q1",,,,"MED27",,"RLN1",,,,,,
,,,,,"PPA1",,,,,,,,,,,,,,,,,,,,,,,,,"NXF2B",,,,,,"SF3A2",,,,,"PPP3R1","PDE4A",,"SPHK1","AGPAT4","CCNB2",,"CBLB",,,,,"AP1M1","CXCR2",,"WNT8A","FBP2","RBBP4","PLA2G12B","TBL1XR1",,,"PDGFRB",,"PDCD1LG2","RAC1",,,,,,"GNG13","CREB5","HTR3B","OR9I1",,,,"NCOR1",,"RLN2",,,,,,
,,,,,"NDUFA12",,,,,,,,,,,,,,,,,,,,,,,,,"EIF3CL",,,,,,"SF3B5",,,,,"PPP3R2","PDE4B",,"SGPL1","LPAR5","CCNE2",,"CDC23",,,,,"AP3D1","ARF1",,"WNT8B","CCNA2","RBL1","MYLK2","FZD3",,,"PDPK1",,"CD276","RAP1A",,,,,,"PLCB2",,"GNG8","OR9Q1",,,,"MED24",,"MAPK12",,,,,,
,,,,,"NDUFA4L2",,,,,,,,,,,,,,,,,,,,,,,,,"RGPD2",,,,,,"THOC3",,,,,"PRKACA","PDE4C",,"CERS5","PTGFR","BUB3",,"CDC16",,,,,"ATP6V0D1","ARF3",,"WNT10B","CCNA1","RBL2","PLA2G4C","CXXC4",,,"PGF",,"MADCAM1","CCND1",,,,,,"PLCB3",,,"OR9Q2",,,,"TBC1D4",,"MAP2K4",,,,,,
,,,,,"SDHA",,,,,,,,,,,,,,,,,,,,,,,,,"UBE2I",,,,,,"DHX16",,,,,"PRKACB","PDE4D",,"S1PR2","PTPN11","PTTG1",,"HERC3",,,,,"AP4M1","KIF5A",,"WNT11","CREB3L1","TRPV4","JMJD7-PLA2G4B","WNT10A",,,"PIK3CA",,"JAM3","RDX",,,,,,"PLCB4",,,"OR1S2",,,,"MED12",,"SHC1",,,,,,
,,,,,"SDHB",,,,,,,,,,,,,,,,,,,,,,,,,"SUMO1",,,,,,"PHF5A",,,,,"PRKACG","GHRL",,"ROCK2","RAF1","ESPL1",,"HERC2",,,,,"PPT2","KIF5B",,"WNT2B","RAB11B","CCND1","ARHGEF1","FOSL1",,,"PIK3CB",,"NTNG2","ACTB",,,,,,"GNG2",,,"OR1S1",,,,"MED13",,"CREB3L2",,,,,,
,,,,,"SDHC",,,,,,,,,,,,,,,,,,,,,,,,,"XPO1",,,,,,"PRPF38A",,,,,"PRKCA","CALML5",,"SPTLC2","RALA","CDK1",,"HERC1",,,,,"NAPSA","KIF5C",,"WNT9A","STRADA","RELA","MYLK3","WNT5B",,,"PIK3CD",,"CNTNAP1","ROCK1",,,,,,"NDUFB11",,,"OR10Q1",,,,,,"SOS1",,,,,,
,,,,,"SDHD",,,,,,,,,,,,,,,,,,,,,,,,,"SNORD3A",,,,,,"RBM17",,,,,"PRKCB","PIK3CA",,"GAB2","RALB","CDC6",,"BTRC",,,,,"SCARB2","ARF5",,"WNT9B","G6PC3","RHEB","CALML4","CAMK2A",,,"PIK3R1",,"ITGA8","MPP5",,,,,,"PRKACA",,,"OR5B17",,,,,,"SOS2",,,,,,
,,,,,"LHPP",,,,,,,,,,,,,,,,,,,,,,,,,"SNORD3B-2",,,,,,"PRPF18",,,,,"PRKCG","PIK3CB",,,"RALGDS","CDC20",,"UBE3B",,,,,"LITAF","ARF6",,"FZD5","ADIPOQ","RRAS","PPP1R14A","CAMK2B",,,"PIK3R2",,"MPZL1","CLDN25",,,,,,"PRKACB",,,"OR5B21",,,,,,"SRC",,,,,,
,,,,,"UQCRB",,,,,,,,,,,,,,,,,,,,,,,,,"SNORD3C",,,,,,"SRSF9",,,,,"LTB4R2","PIK3CD",,,"RHEB","CDC25A",,"SOCS3",,,,,"ENTPD4","RHOA",,"MAPKAP1","CD36","MAPK12","ROCK2","CAMK2D",,,"SHC3",,"CLDN10","ACTR3C",,,,,,"PRKACG",,,"OR5A2",,,,,,"TGFB1",,,,,,
,,,,,"UQCRC1",,,,,,,,,,,,,,,,,,,,,,,,,"NUP37",,,,,,"BUD31",,,,,"SPHK2","PIK3R1",,,"RRAS","CDC25B",,"KLHL13",,,,,"CD63","FAM21A",,"WDR59","CREB5","ZFP36L1","ARHGEF11","CAMK2G",,,"PPP1R12C",,"CLDN8","SRC",,,,,,"PRKCA",,,"OR5A1",,,,,,"TGFBR1",,,,,,
,,,,,"UQCRC2",,,,,,,,,,,,,,,,,,,,,,,,,"DDX39B",,,,,,"SART1",,,,,"CYSLTR2","PIK3R2",,,"SHC1","CDC25C",,"UBA3",,,,,"CD68","FOLR4",,"FZD3",,"ZFP36L2",,"VANGL1",,,"PPP1CA",,"CLDN6","STK11",,,,,,"PRKCB",,,"OR4D6",,,,,,"TGFBR2",,,,,,
,,,,,"UQCRFS1",,,,,,,,,,,,,,,,,,,,,,,,,"THOC6",,,,,,"PRPF4",,,,,"PTAFR","PLD1",,,"SOS1","CDC27",,"UBE2M",,,,,"LAPTM4A","LDLR",,"WNT10A",,"TGFB1",,"AXIN1",,,"PPP1CB",,"CLDN2","TIAM1",,,,,,"PRKCG",,,"OR4D11",,,,,,"VEGFA",,,,,,
,,,,,"UQCRH",,,,,,,,,,,,,,,,,,,,,,,,,"GEMIN7",,,,,,"PRPF3",,,,,"PTGER1","PLD2",,,"SOS2","RBX1",,"PIAS2",,,,,,"ARRB1",,"WNT5B",,"TGFB2",,"AXIN2",,,"PPP1CC",,"CLDN1","TJP1",,,,,,"GABRQ",,,"OR52A1",,,,,,"VEGFB",,,,,,
,,,,,"COX4I2",,,,,,,,,,,,,,,,,,,,,,,,,"GEMIN6",,,,,,"EFTUD2",,,,,"PTGER3","FXYD1",,,"SYK",,,"UBE2L6",,,,,,"SMAD2",,"NPRL3",,"TGFB3",,"FZD1",,,"PARVA",,"CLDN9","ACTG1",,,,,,"MAPK1",,,"OR6C74",,,,,,"VEGFC",,,,,,
,,,,,"ATP6V0E1",,,,,,,,,,,,,,,,,,,,,,,,,"RPP21",,,,,,"SNRNP40",,,,,"PTGFR","PLN",,,"TSC1",,,"UBE2Q2",,,,,,"SMAD3",,"SLC7A5",,"TGFBR1",,"FZD4",,,"PRKCA",,"ESAM","CLDN5",,,,,,"MAPK3",,,"OR6C3",,,,,,"CREB3L3",,,,,,
,,,,,"ATP6V1E2",,,,,,,,,,,,,,,,,,,,,,,,,"NUP85",,,,,,"DDX23",,,,,"STIM2","PPARA",,,"TSC2",,,"TRIP12",,,,,,"ARRB2",,"CAB39L",,"TGFBR2",,"FZD6",,,"PRKCB",,"CD2","TUBA4A",,,,,,"NDUFA12",,,"OR2T6",,,,,,"PIK3R3",,,,,,
,,,,,"ATP6V0D1",,,,,,,,,,,,,,,,,,,,,,,,,"THOC7",,,,,,"AQR",,,,,"BDKRB1","CNGB3",,,"PDGFD",,,"UBE4A",,,,,,"MDM2",,"SEH1L",,"TP53",,"FZD7",,,"PRKCG",,"CD4","TUBA3C",,,,,,"GNG12",,,"OR1L4",,,,,,"CREB3L1",,,,,,
,,,,,"COX7A2L",,,,,,,,,,,,,,,,,,,,,,,,,"NUP214",,,,,,"EIF4A3",,,,,"BDKRB2","PPP1CA",,,"PIP5K1A",,,"RNF7",,,,,,"RAB8A",,"FZD1",,"TSC1",,"FZD8",,,"MAPK1",,"CD6","VASP",,,,,,"MAPK8",,,"OR52B2",,,,,,"GNG8",,,,,,
,,,,,"ATP6V1F",,,,,,,,,,,,,,,,,,,,,,,,,"PABPC1L",,,,,,"DHX38",,,,,"RYR1","PPP1CB",,,"PIP5K1B",,,"UBE3C",,,,,,"IQSEC3",,"FZD4",,"TSC2",,"FZD9",,,"MAPK3",,"CD8A","EZR",,,,,,"MAPK11",,,"OR4C3",,,,,,"CREB5",,,,,,
,,,,,"COX5A",,,,,,,,,,,,,,,,,,,,,,,,,"AAAS",,,,,,"DDX46",,,,,"RYR2","PPP1CC",,,"PIK3R3",,,"KEAP1",,,,,,"NEDD4",,"FZD6",,"VDAC1",,"TCF7L1",,,"MAPK8",,"CD8B","WAS",,,,,,"MAPK9",,,"OR4S1",,,,,,,,,,,,
,,,,,"ATP6V1G1",,,,,,,,,,,,,,,,,,,,,,,,,"FXR1",,,,,,"CDC5L",,,,,"RYR3","PRKACA",,,"DGKZ",,,"CUL7",,,,,,"ASAP1",,"FZD7",,"VDAC2",,"CUL1",,,"MAPK9",,"CD22","CACNA1D",,,,,,"MAPK10",,,"OR51F1",,,,,,,,,,,,
,,,,,"ATP5J2",,,,,,,,,,,,,,,,,,,,,,,,,"SEH1L",,,,,,"RBM8A",,,,,"SLC8A2","PRKACB",,,"DGKE",,,"RHOBTB1",,,,,,"PARD6A",,"FZD8",,"VDAC3",,"NKD1",,,"MAPK10",,"NRXN3","TUBA1A",,,,,,"MAPK13",,,"OR1C1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RGPD5",,,,,,"THOC1",,,,,"SLC8A1","PRKACG",,,"DGKD",,,"CDC20",,,,,,"CCDC53",,"FZD9",,"CACNA1D",,"NKD2",,,"PDGFC",,"NRXN1","MICALL2",,,,,,"NDUFA4L2",,,"OR1A2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WIBG",,,,,,,,,,,"SLC8A3","ADCY10",,,"PLA2G4C",,,"CDC27",,,,,,"VPS36",,"SESN2",,"CALM1",,"RUVBL1",,,"MAP2K1",,"NRXN2","MYH14",,,,,,"SLC17A7",,,"OR2F1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"THOC3",,,,,,,,,,,"STIM1","MAPK1",,,"PPAP2A",,,"CDC34",,,,,,"SH3GLB1",,"ULK1",,"CALM2",,"CCND2",,,"RELN",,"CD28","TUBAL3",,,,,,"SLC17A6",,,"OR2B6",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RAE1",,,,,,,,,,,"TACR2","MAPK3",,,"PPAP2C",,,"RBX1",,,,,,"VPS28",,"WDR24",,"CALM3",,"BTRC",,,"PAK6",,"LRRC4B","ACTN4",,,,,,"ABHD6",,,"OR1J4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GEMIN2",,,,,,,,,,,"TACR1","MAPK8",,,"PPAP2B",,,,,,,,,"CHMP1A",,"AKT1S1",,"CALML3",,"CCND3",,,"PAK7",,"CD80","SYMPK",,,,,,"PTGS2",,,"OR2M4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"THOC5",,,,,,,,,,,"TACR3","MAPK9",,,"JMJD7-PLA2G4B",,,,,,,,,"SPG21",,"PIK3R3",,"CAPN1",,"WNT3A",,,"BAD",,"CD86","JAM3",,,,,,"GNB4",,,"OR2L2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF4EBP3",,,,,,,,,,,"TBXA2R","MAPK10",,,"SPHK1",,,,,,,,,"CHMP5",,"LAMTOR3",,"CAPN2",,"TBL1Y",,,"PTEN",,"CD34","PARD6G",,,,,,"MAPK12",,,"OR2K2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3A",,,,,,,,,,,"TNNC2","MAP2K1",,,"DGKI",,,,,,,,,"VTA1",,"WNT3A",,"SLC25A31",,"CER1",,,"PTK2",,"CD40","PARD6B",,,,,,"DAGLA",,,"OR7A17",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3B",,,,,,,,,,,"TNNC1","MAP2K2",,,"LPAR2",,,,,,,,,"PDGFRA",,"ATP6V1E2",,"RASSF5",,"ROCK2",,,"PXN",,"CD40LG","TUBA1C",,,,,,"CACNA1A",,,"OR5L2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3C",,,,,,,,,,,"TRHR","SUCNR1",,,"CYTH3",,,,,,,,,"CHMP3",,"STRADA",,"PIK3R3",,"RBX1",,,"MYL7",,"CD58","CGNL1",,,,,,"CACNA1B",,,"OR5K1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3D",,,,,,,,,,,"VDAC1","BAD",,,"CYTH2",,,,,,,,,"VPS29",,"ATP6V1F",,"CCNB3",,,,,"RAC1",,"SDC3","YBX3",,,,,,"CACNA1C",,,"OR5H1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3F",,,,,,,,,,,"VDAC2","PTCH1",,,"CYTH1",,,,,,,,,"PLD1",,"EIF4E2",,"SQSTM1",,,,,"RAC2",,"CDH1","RUNX1",,,,,,"CACNA1D",,,"OR10J1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3G",,,,,,,,,,,"VDAC3","PTGER2",,,"GAB2",,,,,,,,,"PLD2",,"ATP6V1G1",,"CCNA2",,,,,"RAC3",,,"ACTN1",,,,,,"CACNA1F",,,"OR8G2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3H",,,,,,,,,,,"CACNA1A","PTGER3",,,,,,,,,,,,"PML",,"FNIP1",,"CCNA1",,,,,"RAF1",,,"MYH13",,,,,,"CACNA1S",,,"OR8B8",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3I",,,,,,,,,,,"CACNA1B","RAC1",,,,,,,,,,,,"EPN3",,"TTI1",,"CCNB1",,,,,"RAP1A",,,"MPDZ",,,,,,"GNG8",,,"OR8G1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF3J",,,,,,,,,,,"CACNA1C","RAC2",,,,,,,,,,,,"VPS37C",,"DEPDC5",,"CCND2",,,,,"RAP1B",,,"WASL",,,,,,,,,"OR10A3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF4G3",,,,,,,,,,,"CACNA1D","RAC3",,,,,,,,,,,,"ASAP3",,"ULK2",,"BTRC",,,,,"RASGRF1",,,"CLDN10",,,,,,,,,"OR12D2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PABPC4",,,,,,,,,,,"CACNA1E","RAF1",,,,,,,,,,,,"VPS35",,"TELO2",,"CCND3",,,,,"CCND1",,,"CLDN8",,,,,,,,,"OR11A1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF2B4",,,,,,,,,,,"CACNA1F","RAP1A",,,,,,,,,,,,"ARFGAP1",,,,"CCNE1",,,,,"BCL2",,,"CLDN6",,,,,,,,,"OR10H3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF2B3",,,,,,,,,,,"CACNA1S","RAP1B",,,,,,,,,,,,"PRKCI",,,,"MCU",,,,,"ACTB",,,"CLDN2",,,,,,,,,"OR10G3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF2B2",,,,,,,,,,,"CALM1","RELA",,,,,,,,,,,,"PRKCZ",,,,"CCNB2",,,,,"ROCK1",,,"CLDN1",,,,,,,,,"OR10G2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF2B5",,,,,,,,,,,"ORAI2","ROCK1",,,,,,,,,,,,"PARD3",,,,"CCNE2",,,,,"TNN",,,"CLDN9",,,,,,,,,"OR10H2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF2S2",,,,,,,,,,,"ITPKC","HCN2",,,,,,,,,,,,"PSD",,,,"LIN52",,,,,"PARVG",,,"CD1A",,,,,,,,,"OR10H1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF1AY",,,,,,,,,,,"CALM2","RRAS",,,,,,,,,,,,"SH3GLB2",,,,"CALML4",,,,,"SHC1",,,"CD1B",,,,,,,,,"OR8B2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUP210L",,,,,,,,,,,"CALM3","RYR2",,,,,,,,,,,,"CHMP1B",,,,"MAPKAPK2",,,,,"SOS1",,,"CD1C",,,,,,,,,"OR7E24",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POM121L2",,,,,,,,,,,"CALML3","BDNF",,,,,,,,,,,,"SMURF1",,,,"CDK1",,,,,"SOS2",,,"CD1D",,,,,,,,,"OR7C2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF4E2",,,,,,,,,,,"CAMK4","HHIP",,,,,,,,,,,,"RAB22A",,,,"CDC25A",,,,,"SPP1",,,"CD1E",,,,,,,,,"OR7A5",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FXR2",,,,,,,,,,,"CAMK2A","ARAP3",,,,,,,,,,,,"EPS15L1",,,,,,,,,"SRC",,,"ARHGEF2",,,,,,,,,"OR7C1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUP155",,,,,,,,,,,"CAMK2B","CREB3L2",,,,,,,,,,,,"SNX6",,,,,,,,,"BRAF",,,"MARVELD3",,,,,,,,,"OR4F4",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF5B",,,,,,,,,,,"CAMK2D","SLC9A1",,,,,,,,,,,,"RAB4A",,,,,,,,,"THBS1",,,"MAGI1",,,,,,,,,"OR4F3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TGS1",,,,,,,,,,,"CAMK2G","SOX9",,,,,,,,,,,,"RAB5A",,,,,,,,,"THBS2",,,"CRB3",,,,,,,,,"OR4E2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUP93",,,,,,,,,,,"SLC25A31","BRAF",,,,,,,,,,,,"RAB5B",,,,,,,,,"THBS3",,,"TJAP1",,,,,,,,,"OR4E1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EIF4A3",,,,,,,,,,,"PLCD4","SSTR1",,,,,,,,,,,,"RAB5C",,,,,,,,,"THBS4",,,"SLC9A3R1",,,,,,,,,"OR4D1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUPL1",,,,,,,,,,,"ORAI1","SSTR2",,,,,,,,,,,,"GRK1",,,,,,,,,"TLN1",,,"TJP2",,,,,,,,,"OR2W1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POM121",,,,,,,,,,,"MYLK2","SSTR5",,,,,,,,,,,,"SMAP1",,,,,,,,,"ACTG1",,,"ROCK2",,,,,,,,,"OR2V1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RBM8A",,,,,,,,,,,"CCKAR","TIAM1",,,,,,,,,,,,"ZFYVE20",,,,,,,,,"TNR",,,"RAPGEF2",,,,,,,,,"OR2T1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUP153",,,,,,,,,,,"CCKBR","TNNI3",,,,,,,,,,,,"ARAP3",,,,,,,,,"TNXB",,,"CDC42",,,,,,,,,"OR2J2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"THOC1",,,,,,,,,,,"SPHK1","TSHR",,,,,,,,,,,,"WIPF3",,,,,,,,,"VASP",,,,,,,,,,,,"OR2H1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CACNA1I","VAV1",,,,,,,,,,,,"SH3GL1",,,,,,,,,"VAV1",,,,,,,,,,,,"OR1L3",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CACNA1H","VAV2",,,,,,,,,,,,"SH3GL2",,,,,,,,,"VAV2",,,,,,,,,,,,"OR1L1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CACNA1G","VIPR2",,,,,,,,,,,,"SH3GL3",,,,,,,,,"VCL",,,,,,,,,,,,"OR1J2",,,,,,,,,,,,
