SampleGroup,RNASeq1,RNAseq2,Value
ER+,AKR1B1_3,RNASEH2C_1,-0.134462648494989
ER+,NUP188_3,TRA2B_1,-0.134338910667994
ER+,ESAM_3,EIF3C_1,-0.134262581948918
ER+,CFH_3,ACTR3_1,-0.134238485777741
ER+,CD2_3,COX6A1_1,-0.133825919556946
ER+,CALD1_3,COX7A2L_1,-0.133605109034267
ER+,PTTG1_3,WIPI2_1,-0.133165245591887
ER+,ARHGEF11_3,PIGY_1,0.132623457329532
ER+,HCN4_3,UQCR10_1,0.131568232557314
ER+,ATP5B_3,APEX1_1,-0.131377761533355
ER+,CHST3_3,SH3GL1_1,0.130959441303297
ER+,ACTR2_3,NOP56_1,-0.130349172020743
ER+,EARS2_3,ARPC1A_1,-0.129142495798724
ER+,ABCA6_3,SNRPG_1,-0.128841414673133
ER+,EIF4G1_3,EIF2S3_1,-0.128498724136974
ER+,RAD54L_3,SDHC_1,0.128311749417231
ER+,EARS2_3,UQCR10_1,-0.128021258169629
ER+,HSPG2_3,RNF7_1,-0.127605702102066
ER+,HSPG2_3,TBL3_1,0.127496149527223
ER+,CD80_3,MCAT_1,-0.127389226097844
ER+,ACTR2_3,DKC1_1,-0.127015966024781
ER+,CFH_3,YARS_1,-0.126841348572371
ER+,DIS3L_3,CWC15_1,-0.126597952975342
ER+,PKMYT1_3,TBL3_1,-0.126376253110633
ER+,TBL3_3,SNRPD3_1,-0.12609786615505
ER+,PDCD1LG2_3,NAPA_1,-0.125920751239353
ER+,HCN4_3,ATP5L_1,-0.125065980916007
ER+,CHST11_3,CHMP4B_1,0.125051699923219
ER+,EIF4G1_3,CAPZB_1,-0.123960885555442
ER+,ABCA6_3,DKC1_1,-0.12349086455262
ER+,DIS3L_3,YWHAE_1,-0.123196718879099
ER+,ZFP36L2_3,ATP5H_1,-0.122793743302209
ER+,ABCA6_3,TCOF1_1,-0.121787353697141
ER+,PABPN1_3,ATP5J2_1,-0.121761575076344
ER+,CHMP1A_3,ARHGDIA_1,-0.121723065948225
ER+,UBE2C_3,ELK1_1,-0.12133009465392
ER+,WIPF1_3,SNRPA_1,-0.121327484640367
ER+,ABCA8_3,PRDX1_1,-0.12091114867966
ER+,VCAN_3,YWHAE_1,-0.120721437893732
ER+,EARS2_3,ATP5H_1,-0.120625146010269
ER+,GTF2A1_3,UQCRQ_1,-0.120544399761157
ER+,BLM_3,SHFM1_1,-0.120466278566275
ER+,GLI2_3,TUBA1B_1,-0.120421172710036
ER+,PLK1_3,QARS_1,0.120077228928005
ER+,BUB1B_3,EIF1_1,-0.118708558202194
ER+,NUP188_3,COX5B_1,-0.118429844728608
ER+,FXR2_3,EIF2S3_1,-0.117808568642062
ER+,CD4_3,ELK1_1,-0.117325971183524
ER+,F10_3,PEX13_1,-0.116902246226054
ER+,SF3A2_3,EIF2S3_1,-0.116803898482298
ER+,ABCA8_3,PGK1_1,-0.116282993756541
ER+,CDC25C_3,ATP5J_1,-0.116027385121382
ER+,COL5A2_3,ATP5G3_1,-0.115253742201369
ER+,PTTG1_3,ATP5L_1,-0.115131844331073
ER+,COL5A2_3,SNRPG_1,-0.115116002358393
ER+,PROS1_3,EIF1_1,-0.114780146467231
ER+,DIS3L_3,NAPA_1,-0.114188459173623
ER+,XPO5_3,EIF3CL_1,-0.113564242190735
ER+,PTPN6_3,SH3GL1_1,0.113230853656707
ER+,CHMP1A_3,SNRPD2_1,-0.113070863186324
ER+,HCN4_3,ATP5E_1,-0.112931250590009
ER+,HEPH_3,CAPZB_1,-0.11260219595597
ER+,UBE2B_3,EIF3C_1,-0.112274317676819
ER+,ZFP36L2_3,ARF5_1,-0.112180638195552
ER+,CARD11_3,EHD1_1,-0.112178243561729
ER+,RPS6KA3_3,ATP5L_1,-0.111461570367959
ER+,ACTR2_3,NOP58_1,-0.11144733681177
ER+,CHST3_3,EIF2S3_1,-0.111443083803959
ER+,DIS3L_3,RNASEH2C_1,-0.11129044382535
ER+,F10_3,COX5A_1,-0.110784410762449
ER+,TUBA1C_3,UQCR10_1,-0.110308574401725
ER+,PRR5_3,UQCRFS1_1,-0.110209100431953
ER+,GTSE1_3,WARS_1,-0.110102836780794
ER+,PROS1_3,UQCRH_1,-0.11008845422083
ER+,BUB1B_3,CNOT3_1,-0.109982832559817
ER+,FOXM1_3,UQCRB_1,-0.109762125621132
ER+,ATP5B_3,GGPS1_1,-0.109587651633858
ER+,CTSO_3,NAPA_1,-0.109250231480024
ER+,HCN4_3,RIOK2_1,-0.108985048244164
ER+,ZFP36L2_3,RARS_1,-0.107830229747298
ER+,AP1B1_3,YWHAE_1,-0.107693202197212
ER+,ABCC10_3,FUNDC1_1,-0.107668042907948
ER+,WIPF1_3,UQCRFS1_1,-0.107642066651613
ER+,CALCRL_3,NPRL2_1,-0.10758769615644
ER+,HSPG2_3,RIOK2_1,-0.107465979143129
ER+,SOX17_3,RIOK2_1,-0.106856750290051
ER+,FOXM1_3,EIF1AX_1,-0.105676253951023
ER+,NPR2_3,ARF5_1,-0.10562046217651
ER+,XPO5_3,YWHAE_1,-0.104741147644388
ER+,IL2RG_3,EIF2S3_1,-0.104664045564271
ER+,ACTR2_3,PRDX1_1,-0.104114794465821
ER+,ZFP36L2_3,SNRPD3_1,-0.104075740583083
ER+,ZYX_3,ACTR3_1,0.103999304907377
ER+,EARS2_3,COX8A_1,-0.103963883533036
ER+,CHMP1A_3,HSPD1_1,-0.103876445292353
ER+,PLK1_3,HSPD1_1,-0.103875360712229
ER+,C3AR1_3,ATP5G2_1,-0.103415836827913
ER+,CTSO_3,CWC15_1,-0.103355348546812
ER+,LAPTM5_3,WARS_1,-0.103234225395276
ER+,CTSO_3,P2RX5_1,-0.102634397053279
ER+,C3_3,UBE2M_1,-0.102481136919407
ER+,ABCA6_3,SNRPD1_1,-0.102441419390691
ER+,TUBA1A_3,ATP5G3_1,-0.102439136857956
ER+,ZFP36L2_3,UQCR10_1,-0.102331988288688
ER+,PTTG1_3,ARF5_1,-0.102003145489221
ER+,HCLS1_3,DDX42_1,-0.101908780404471
ER+,CFH_3,GPI_1,-0.101789381269803
ER+,ABCA6_3,NOP58_1,-0.101637591596751
ER+,RPS6KA3_3,ATP5G2_1,-0.101459537716174
ER+,LAT_3,ELK1_1,-0.101355537886076
ER+,AP1B1_3,SNRNP70_1,-0.101287785241956
ER+,HCN4_3,PRDX5_1,0.101229253250329
ER+,ARHGEF11_3,COX5A_1,-0.101195585796927
ER+,GSPT1_3,PDHA1_1,-0.10077918275189
ER+,C3_3,TBL3_1,-0.100742858573472
ER+,BLM_3,GPI_1,-0.100631354659396
ER+,IL2RA_3,TRA2B_1,-0.100584532200986
ER+,ABCA8_3,HSD17B10_1,-0.100312876709048
ER+,RAD54L_3,ATP5E_1,0.0995571364119041
ER+,XPA_3,EPN1_1,-0.099436622450802
ER+,HCN4_3,RAD23A_1,-0.0992558132445906
ER+,RAD54L_3,EIF1_1,0.0985268267887718
ER+,TBXA2R_3,EHD1_1,-0.0984365017838859
ER+,COL5A2_3,NOP10_1,-0.0983586434166173
ER+,CD1C_3,ARHGDIA_1,-0.0983565409412532
ER+,CHMP1A_3,SNRPA_1,-0.0982688159851125
ER+,TCERG1_3,EIF1AX_1,-0.0980505389690342
ER+,TEK_3,YWHAE_1,-0.0978873536956567
ER+,SNX1_3,FIS1_1,-0.0973584940370668
ER+,AKR1B1_3,SNRNP70_1,-0.0970200810562997
ER+,ATP5B_3,HMGB1_1,-0.0969576951458766
ER+,ABCB1_3,ATP5G3_1,0.0968247614995025
ER+,SNX1_3,RNASEH2C_1,-0.0959905867311029
ER+,HCN4_3,ETF1_1,0.0959433231938272
ER+,DPYD_3,GPI_1,-0.0958214508543481
ER+,VCAN_3,CAPZB_1,-0.0954829430743945
ER+,SF3A2_3,UQCRFS1_1,-0.0954218997770303
ER+,ABCA8_3,BUD31_1,-0.0953432446967341
ER+,MAD1L1_3,TBL3_1,-0.0951635968191169
ER+,CD80_3,TBL3_1,0.0947434644289982
ER+,GTSE1_3,EIF3C_1,-0.0946567644580802
ER+,EIF4G1_3,PABPN1_1,0.0946229515690172
ER+,FXR2_3,EIF6_1,-0.0945537044985251
ER+,GSPT1_3,CAPZB_1,-0.0944768327562136
ER+,ACTR3_3,QARS_1,-0.0943341249112958
ER+,LAPTM5_3,EIF3C_1,-0.0941552669610673
ER+,CDC25C_3,SNRPD2_1,0.0939322940294289
ER+,CD1C_3,PEX13_1,-0.0937747999845999
ER+,FXR2_3,FIS1_1,-0.0937663775901344
ER+,PRR5_3,PABPN1_1,-0.0937437581702139
ER+,PTPRC_3,PGK1_1,0.0936582546262534
ER+,ATG4D_3,AP1S1_1,-0.0934753550111045
ER+,PLK1_3,MPV17L2_1,-0.0933858538679801
ER+,CD4_3,VAMP8_1,-0.0931682264426316
ER+,CHMP1A_3,CAPZB_1,-0.0930322924413433
ER+,CFH_3,UQCRC1_1,-0.0927024822049909
ER+,IL2RG_3,PDHA1_1,-0.0925802559746355
ER+,LCP2_3,SH3GL1_1,0.0925334370062782
ER+,CDC25C_3,EIF3CL_1,-0.092482561714866
ER+,ABCA8_3,UQCRH_1,-0.0914337291915556
ER+,MARS_3,TOMM7_1,-0.0911373115832058
ER+,CD1C_3,EIF6_1,-0.090734535915124
ER+,PTPN6_3,CDC34_1,-0.0906897987008545
ER+,GTSE1_3,PEX13_1,-0.090278105537945
ER+,BUB1B_3,TRA2B_1,0.0902673151094572
ER+,CD80_3,EIF3C_1,-0.0899765912093492
ER+,BLM_3,NOP10_1,-0.0898266036722991
ER+,CFH_3,WARS_1,-0.0897405083457884
ER+,IL2RG_3,FIS1_1,-0.0894124303114156
ER+,GP1BB_3,AP1S1_1,0.0892004322482099
ER+,PDCD1LG2_3,CDC34_1,-0.0889269764593862
ER+,ACTR3_3,EMG1_1,0.088880388753248
ER+,SNX1_3,PEX13_1,-0.0888779611159571
ER+,PDCD1LG2_3,EIF6_1,-0.0887806747875669
ER+,XPO5_3,FIS1_1,-0.0886024131550517
ER+,PDCD1_3,RAD23A_1,-0.0884297343921375
ER+,CD1C_3,COX5A_1,-0.0883518056401587
ER+,IL4I1_3,FTH1_1,-0.0878867986398905
ER+,AP1B1_3,FIS1_1,-0.0876508047889412
ER+,PTPRC_3,DYNLL1_1,0.0874650005407513
ER+,EEF1A1_3,UQCR10_1,-0.0873005770376914
ER+,VCAN_3,CWC15_1,-0.0870675129235695
ER+,SNX1_3,NAPA_1,-0.0865833744128522
ER+,NPR2_3,COX5B_1,-0.0865731377333676
ER+,CDC25C_3,COX7B_1,-0.0864596168488681
ER+,LCP2_3,UQCRH_1,-0.0862948007797458
ER+,CFH_3,NOP56_1,-0.0860570377143373
ER+,EIF4G1_3,TXNL4A_1,-0.085996624515961
ER+,AP1S2_3,GARS_1,-0.0859055552444787
ER+,CDC25C_3,ATP5B_1,-0.0858950342743743
ER+,DPYD_3,EHD1_1,-0.0857550725812888
ER+,TAP1_3,TRA2A_1,-0.0857133300871702
ER+,FXR2_3,SH3GL1_1,0.0855778844288779
ER+,ATP5B_3,ATP5O_1,-0.0854407466232054
ER+,AP1S2_3,ARHGDIA_1,-0.08537012821461
ER+,RPS6KA3_3,RNF7_1,-0.0852901004029904
ER+,CD2_3,UBE2M_1,-0.0851932148049211
ER+,CDC6_3,COX5B_1,-0.0851744615983907
ER+,PRR5_3,ATP5G3_1,-0.0851108652649291
ER+,WIPF1_3,ALDOA_1,0.0846116601745217
ER+,AP1S2_3,MCAT_1,-0.0844167531417647
ER+,DIS3L_3,CDC34_1,-0.0839377034938605
ER+,DHX38_3,FTL_1,-0.0838486648092457
ER+,PVR_3,AP1S1_1,-0.0836279686261256
ER+,ABCA8_3,UBE2L3_1,-0.0834786548767916
ER+,CTSO_3,EIF6_1,-0.083423223984773
ER+,MARS_3,SDHC_1,0.0833034373457939
ER+,GLI2_3,PRDX1_1,-0.0829019016764955
ER+,XPA_3,FIS1_1,-0.0824934760751737
ER+,PTTG1_3,SF3B5_1,-0.0824822603924352
ER+,CALCRL_3,EPN1_1,-0.0824314384460164
ER+,ATP5B_3,DDX42_1,-0.0824302034424657
ER+,ATP5B_3,PARP2_1,-0.0823910636629677
ER+,MAD2L1_3,PRDX1_1,-0.082388601617726
ER+,RAD54L_3,SNRPD2_1,-0.0823823304350601
ER+,TLN1_3,UQCRQ_1,-0.0821287817928889
ER+,PDCD1LG2_3,UQCRC2_1,-0.0818971608673637
ER+,BLM_3,SNRPG_1,-0.0817944615768127
ER+,SYF2_3,ATP5G2_1,-0.0815219882010017
ER+,CAPZA2_3,GPI_1,-0.0808409978782919
ER+,DPYD_3,EPN1_1,-0.0807941534699725
ER+,EIF4G1_3,P2RX5_1,-0.0807261246613636
ER+,XPO5_3,COX5A_1,-0.0803234378523384
ER+,ABCA6_3,ATP5H_1,-0.079952880487232
ER+,PTPRC_3,ACTR3_1,0.0798561085101898
ER+,ESAM_3,PEX13_1,-0.0793357202091715
ER+,CFH_3,DKC1_1,-0.079295839690238
ER+,VCAN_3,COX5A_1,-0.0789901436153767
ER+,MT2A_3,YWHAE_1,-0.078947379674035
ER+,ACTR3_3,EXOSC2_1,-0.0785632596066775
ER+,IL4I1_3,ARPC3_1,0.0785471191440254
ER+,BLM_3,ATP5G3_1,-0.0784009299210244
ER+,PDCD1_3,WARS_1,-0.0781142742627029
ER+,XPO5_3,P2RX5_1,-0.0781041480196984
ER+,GTSE1_3,ATP5J2_1,-0.0780635020083144
ER+,PVR_3,CAPZB_1,-0.0780353412087451
ER+,ATP5B_3,SH3GL1_1,-0.0779899646856285
ER+,PDCD1_3,HIBADH_1,-0.0778151875802046
ER+,CD2_3,GPI_1,-0.0776140349659481
ER+,SF3A2_3,HSPD1_1,-0.077545450199422
ER+,CDC6_3,RNASEH2C_1,-0.0774400605833981
ER+,TBXA2R_3,TBL3_1,-0.0772953118317533
ER+,HCN4_3,COX6B1_1,0.0772064781392446
ER+,NUP188_3,ATP5C1_1,0.0770310464707548
ER+,SELP_3,ARHGDIA_1,-0.0761748465236555
ER+,GPAA1_3,YWHAE_1,-0.0757724763300729
ER+,CD68_3,RAD23A_1,-0.0751568020622986
ER+,IL2RA_3,SH3GL1_1,0.0749425265268748
ER+,MAD2L1_3,HSD17B10_1,-0.0747439781840379
ER+,F10_3,CDC34_1,-0.0747094578628511
ER+,HSPG2_3,COX6A1_1,0.0743950053277307
ER+,ABCA6_3,UBE2L3_1,-0.0742813527606702
ER+,PDCD1LG2_3,AP1S1_1,-0.0736613723059093
ER+,SF3A2_3,CDC34_1,-0.0735678978686294
ER+,COL5A2_3,EXOSC2_1,-0.0727760338531874
ER+,PLK1_3,PDHA1_1,-0.0726060573530011
ER+,BLM_3,PQBP1_1,-0.0724762188305333
ER+,MARS_3,WARS_1,-0.0721394594600735
ER+,GSPT1_3,COX4I1_1,-0.0714424799980639
ER+,GP1BB_3,ATP5J_1,-0.0714392132361396
ER+,MT2A_3,TBL3_1,-0.0714024111519196
ER+,RANGAP1_3,TOMM7_1,0.0711505686039094
ER+,CDC25C_3,UQCRQ_1,-0.0710706394401327
ER+,SOX17_3,TRA2B_1,-0.070890428060286
ER+,BUB1B_3,CWC15_1,-0.0708140905120701
ER+,C1QB_3,DYNLL1_1,0.0703257111526558
ER+,SNX1_3,COX5A_1,-0.0701669913590696
ER+,ABCC10_3,NAPA_1,-0.0697945843711978
ER+,TTK_3,RARS_1,-0.06974073342771
ER+,NPR2_3,UBE2L3_1,-0.0695459341759941
ER+,ELAC1_3,COX5B_1,-0.0694771571549316
ER+,CHMP1A_3,TXNL4A_1,-0.0694300237773195
ER+,ABCA6_3,EIF1_1,-0.0692465059398992
ER+,HCN4_3,ATP5H_1,0.0691710417139672
ER+,GP1BB_3,ATP5G2_1,-0.0689035624536267
