SampleGroup,RNASeq1,RNAseq2,Value
ER+,EIF1AX_1,ARPC1A_1,-0.0535740182482743
ER+,UQCRC1_1,COX5A_1,-0.0534630403859986
ER+,COX6B1_1,PEX13_1,-0.0534537619308804
ER+,NOP56_1,FIS1_1,-0.0533445559039535
ER+,UQCRC1_1,ARHGDIA_1,-0.053113048568643
ER+,GEMIN7_1,UBE2M_1,-0.0530504109811732
ER+,ATP5J2_1,FIS1_1,-0.0529261524603239
ER+,ALDOA_1,ATG3_1,-0.0529236866620048
ER+,HSP90B1_1,EIF1_1,-0.0527487605001973
ER+,CAPZB_1,PRDX1_1,-0.0527066066106203
ER+,DKC1_1,CAPZB_1,-0.0523676113294532
ER+,SF3B5_1,EIF3C_1,-0.0522205524842189
ER+,PGK1_1,QARS_1,0.0520113576766588
ER+,ATP5G3_1,CDC34_1,-0.0518103084902369
ER+,ARPC5L_1,DKC1_1,-0.0517979496745386
ER+,P2RX5_1,ELK1_1,-0.0516722207230937
ER+,COX4I1_1,SNRPG_1,-0.0516224593172547
ER+,EIF6_1,GPI_1,-0.0514470391507762
ER+,EIF5B_1,ATP5J_1,-0.0512974694790986
ER+,PQBP1_1,YWHAE_1,-0.0510700409408125
ER+,RARS_1,TRA2A_1,-0.0509057697620086
ER+,EMG1_1,COX5A_1,-0.0508897590217678
ER+,EIF2S3_1,ARF5_1,-0.050613731830674
ER+,HSP90B1_1,ATP5H_1,-0.0505256628013772
ER+,HNRNPA3_1,PABPN1_1,0.0503166292597427
ER+,NPRL2_1,CDC34_1,-0.0502881053743376
ER+,EIF2S3_1,COX5B_1,-0.0501906615839551
ER+,P2RX5_1,EPN1_1,-0.0501295322610674
ER+,COX4I1_1,PQBP1_1,-0.0500794952850807
ER+,ECH1_1,PGK1_1,0.0499003512431789
ER+,PARP2_1,SDHC_1,0.0497158291171503
ER+,CAPZB_1,HSD17B10_1,-0.0495538757940856
ER+,FIS1_1,COX5B_1,-0.049434919713032
ER+,TUBA1B_1,DDX42_1,-0.0494342663082967
ER+,MPV17L2_1,EPN1_1,-0.0493984258497122
ER+,HSP90B1_1,UBE2L3_1,-0.0493455596703565
ER+,PGK1_1,MPV17L2_1,-0.0491918998094442
ER+,GEMIN7_1,GPI_1,-0.048885347189602
ER+,NOP56_1,COX5A_1,-0.0487029345666772
ER+,UQCRC2_1,GARS_1,-0.0486587043002702
ER+,SSU72_1,ATP5G3_1,-0.048648343963502
ER+,UBE2L3_1,NAPA_1,-0.0486212821870212
ER+,PABPN1_1,RIOK2_1,-0.0485486435464356
ER+,SNRPD1_1,COX4I1_1,-0.0484252228546653
ER+,TCOF1_1,COX5A_1,-0.0483911158197154
ER+,TAF9_1,ATP5E_1,-0.0483621945538789
ER+,NOP56_1,P2RX5_1,-0.0483306611290723
ER+,HNRNPC_1,HMGB1_1,-0.0482180643042833
ER+,HNRNPK_1,COX5B_1,-0.0482177162409258
ER+,PARP2_1,EIF1_1,0.0480408977994832
ER+,ATP5C1_1,HSPD1_1,-0.0478495621902988
ER+,CAPZB_1,ELK1_1,-0.0477552191349807
ER+,TRA2B_1,UQCRQ_1,-0.0476570880803966
ER+,FIS1_1,RNASEH2C_1,-0.0476551840934302
ER+,PRDX1_1,PEX13_1,-0.0475865672482393
