SampleGroup,mRNA,RNAseq,Value
ER+,CH25H_3,TUBA1C_1,-0.878496071451351
ER+,CYP7B1_3,RBBP4_1,0.876194728465106
ER+,SQRDL_3,RAD23A_1,0.875307196750214
ER+,PGM2_3,ARPC1A_1,-0.874340434127115
ER+,CH25H_3,SNRPB_1,-0.872093919112875
ER+,CH25H_3,HNRNPA1L2_1,-0.867003007217852
ER+,CH25H_3,EIF3I_1,-0.866703122296758
ER+,HSD17B6_3,ATP5B_1,0.866590720393144
ER+,CH25H_3,COX5A_1,-0.866395328309979
ER+,CH25H_3,SOD1_1,-0.864753565391654
ER+,RDH16_3,TRA2B_1,0.862438590077947
ER+,HSD17B6_3,ATG3_1,0.86148953085767
ER+,CH25H_3,EIF3C_1,-0.860828110036003
ER+,CH25H_3,EXOSC2_1,-0.860370722024935
ER+,CH25H_3,BUD31_1,-0.859270459612373
ER+,CH25H_3,COX8A_1,-0.858839914881986
ER+,SQRDL_3,FTH1_1,0.856775164772458
ER+,CH25H_3,UQCRC1_1,-0.856169434077569
ER+,CH25H_3,SNRPG_1,-0.855606393629292
ER+,HSD17B6_3,COX7C_1,0.85493124089662
ER+,CH25H_3,PGK1_1,-0.851523428343976
ER+,CH25H_3,YWHAE_1,-0.846100738114471
ER+,CH25H_3,PIGY_1,-0.84335143964123
ER+,PGM2_3,WIPI2_1,-0.839984417346837
ER+,CH25H_3,EPN1_1,-0.839053939535602
ER+,CH25H_3,CAPZB_1,-0.8385443804485
ER+,CH25H_3,UBA1_1,-0.834645583892757
ER+,PTPLAD2_3,ATP5G3_1,0.834427488536271
ER+,CH25H_3,STUB1_1,-0.833683821711592
ER+,BDH2_3,FTH1_1,0.828400777967658
ER+,CH25H_3,ARPC2_1,-0.828165348422416
ER+,CH25H_3,GEMIN8_1,-0.820365464042981
ER+,CH25H_3,YARS_1,-0.816238527314554
ER+,CH25H_3,HSD17B10_1,-0.810370898201933
ER+,CH25H_3,DKC1_1,-0.807656022300168
ER+,CH25H_3,ATP5H_1,-0.805583262988318
ER+,CH25H_3,COX4I1_1,-0.803858989414307
ER+,CH25H_3,UBE2L3_1,-0.803451484015708
ER+,CH25H_3,SHFM1_1,-0.797450343165008
ER+,CH25H_3,ATP5J2_1,-0.79616534221529
ER+,CH25H_3,PRDX5_1,-0.796051884813359
ER+,CYP7B1_3,HNRNPU_1,0.79579103452597
ER+,NNMT_3,COX7C_1,-0.79501123641853
ER+,CH25H_3,FARSB_1,-0.793056465476566
ER+,PTPLAD2_3,TRA2B_1,0.791420434813551
ER+,CH25H_3,WARS_1,-0.789864284320046
ER+,GTF2A1_3,ATP5J_1,0.788752670967634
ER+,CH25H_3,NAPA_1,-0.787004856577997
ER+,CH25H_3,HIBADH_1,-0.78569561191406
ER+,CH25H_3,NOP58_1,-0.781748517698025
