mRNA,RNAseq,stat
CH25H_3,SNRPD1_1,9.9
KCNN3_3,FTH1_1,9.9
RETSAT_3,ALDOA_1,9.9
RETSAT_3,TBL3_1,9.9
TAF4B_3,COX7C_1,9.8
TAF4B_3,TRA2B_1,9.8
CYP7B1_3,EIF1AX_1,9.8
FUT5_3,CHMP4B_1,9.7
TAF4B_3,RRAGA_1,9.7
XPA_3,SH3GL1_1,9.7
HSD17B6_3,APEX1_1,9.6
UNG_3,EMG1_1,9.6
PGM2_3,ACTR3_1,9.6
TAF4B_3,ARPC1A_1,9.6
ST8SIA1_3,SNRPD3_1,9.6
TAF4B_3,WIPI2_1,9.6
SQRDL_3,UQCRFS1_1,9.5
UNG_3,ARPC1A_1,9.5
FUT5_3,SDHC_1,9.5
UNG_3,SF3B5_1,9.5
RETSAT_3,SSU72_1,9.4
FUT5_3,PCBP1_1,9.4
CH25H_3,PRDX1_1,9.4
ST8SIA1_3,EIF3C_1,9.4
PTPLAD2_3,APEX1_1,9.3
RAD23A_3,ATP5O_1,9.3
CYP7B1_3,GGPS1_1,9.3
KCNN3_3,GARS_1,9.3
PGM2_3,SF3B5_1,9.3
PTPLAD2_3,KARS_1,9.2
PTPLAD2_3,EIF4A1_1,9.2
CYP7B1_3,NOP56_1,9.2
UNG_3,SNRNP70_1,9.2
RETSAT_3,ECH1_1,9.1
CH25H_3,EIF1AX_1,9.1
ST8SIA1_3,COX4I1_1,9
XPA_3,RBBP4_1,9
FUT5_3,RIOK2_1,9
CH25H_3,WARS_1,9
CH25H_3,EIF1_1,9
ST8SIA1_3,MPV17L2_1,9
XPA_3,PCBP1_1,9
MMP2_3,DYNLL1_1,9
RETSAT_3,FTH1_1,8.9
CYP7B1_3,PRDX5_1,8.9
CH25H_3,HNRNPA1L2_1,8.9
PGM2_3,WIPI2_1,8.9
XPA_3,SNRPD1_1,8.8
KCNN3_3,ATP5B_1,8.8
BDH2_3,SSU72_1,8.8
PGM2_3,SSU72_1,8.8
ST8SIA1_3,YWHAE_1,8.8
TAF9_3,HNRNPC_1,8.7
TAF4B_3,UQCRH_1,8.7
CH25H_3,ATP5O_1,8.6
MCAT_3,RBBP4_1,8.6
CH25H_3,FUCA2_1,8.6
RETSAT_3,ATP5E_1,8.6
NNMT_3,SUMO3_1,8.6
CH25H_3,CNOT3_1,8.6
PTPLAD2_3,FTH1_1,8.5
CYP7B1_3,EIF5B_1,8.5
CYP7B1_3,ATP5J2_1,8.5
PTPLAD2_3,SF3B4_1,8.5
KCNN3_3,HMGB1_1,8.4
CYP7B1_3,TXNL4A_1,8.4
PGM2_3,EMG1_1,8.4
CH25H_3,GGPS1_1,8.4
CH25H_3,ATG12_1,8.4
ST3GAL6_3,ATP5G3_1,8.4
PTPLAD2_3,SH3GL1_1,8.4
PGM2_3,COX7B_1,8.3
CYP7B1_3,TUBA1C_1,8.3
HSD17B6_3,SNRPD2_1,8.2
CYP7B1_3,NOP58_1,8.2
KCNN3_3,ARF5_1,8.2
UNG_3,RRAGA_1,8.2
CYP7B1_3,ATG12_1,8.1
CYP7B1_3,VAMP8_1,8.1
